Date : 2025-11-06 00:10:36
Directory : /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src
Total : 154 files,  7786 codes, 376 comments, 844 blanks, all 9006 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dropdown-menu/dropdown-menu-radio-group.svelte   | Svelte     |         14 |          0 |          3 |         17 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dropdown-menu/dropdown-menu-radio-item.svelte    | Svelte     |         29 |          0 |          3 |         32 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dropdown-menu/dropdown-menu-separator.svelte     | Svelte     |         15 |          0 |          3 |         18 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dropdown-menu/dropdown-menu-shortcut.svelte      | Svelte     |         18 |          0 |          3 |         21 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dropdown-menu/dropdown-menu-sub-content.svelte   | Svelte     |         18 |          0 |          3 |         21 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dropdown-menu/dropdown-menu-sub-trigger.svelte   | Svelte     |         27 |          0 |          3 |         30 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dropdown-menu/dropdown-menu-trigger.svelte       | Svelte     |          5 |          0 |          3 |          8 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/dropdown-menu/index.ts                           | TypeScript |         48 |          0 |          2 |         50 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/hover-card/hover-card-content.svelte             | Svelte     |         27 |          0 |          3 |         30 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/hover-card/hover-card-trigger.svelte             | Svelte     |          5 |          0 |          3 |          8 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/hover-card/index.ts                              | TypeScript |         12 |          0 |          3 |         15 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/input/index.ts                                   | TypeScript |          5 |          1 |          2 |          8 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/input/input.svelte                               | Svelte     |         47 |          0 |          5 |         52 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/label/index.ts                                   | TypeScript |          5 |          1 |          2 |          8 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/label/label.svelte                               | Svelte     |         18 |          0 |          3 |         21 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/popover/index.ts                                 | TypeScript |         15 |          1 |          2 |         18 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/popover/popover-content.svelte                   | Svelte     |         27 |          0 |          3 |         30 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/popover/popover-trigger.svelte                   | Svelte     |         15 |          0 |          3 |         18 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/separator/index.ts                               | TypeScript |          5 |          1 |          2 |          8 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/separator/separator.svelte                       | Svelte     |         18 |          0 |          3 |         21 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/table/index.ts                                   | TypeScript |         26 |          1 |          2 |         29 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/table/table-body.svelte                          | Svelte     |         18 |          0 |          3 |         21 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/table/table-caption.svelte                       | Svelte     |         18 |          0 |          3 |         21 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/table/table-cell.svelte                          | Svelte     |         21 |          0 |          3 |         24 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/table/table-footer.svelte                        | Svelte     |         18 |          0 |          3 |         21 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/table/table-head.svelte                          | Svelte     |         21 |          0 |          3 |         24 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/table/table-header.svelte                        | Svelte     |         18 |          0 |          3 |         21 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/table/table-row.svelte                           | Svelte     |         21 |          0 |          3 |         24 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/table/table.svelte                               | Svelte     |         20 |          0 |          3 |         23 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/textarea/index.ts                                | TypeScript |          5 |          1 |          2 |          8 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/textarea/textarea.svelte                         | Svelte     |         20 |          0 |          3 |         23 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/tooltip/index.ts                                 | TypeScript |         18 |          1 |          3 |         22 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/tooltip/tooltip-content.svelte                   | Svelte     |         45 |          0 |          3 |         48 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/tooltip/tooltip-trigger.svelte                   | Svelte     |          5 |          0 |          3 |          8 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/components/ui/utils.ts                                         | TypeScript |         12 |          0 |          3 |         15 |
| /Users/tomas/Desktop/DEV/__Work-projects/SCRAP_APP/Scrapify/src/lib/index.ts                                                       | TypeScript |         35 |          1 |          9 |         45 |
